"TypeCode,""FreqCode"",""RefPeriodId"",""RefYear"",""RefMonth"",""Period"",""ReporterCode"",""ReporterISO"",""ReporterDesc"",""FlowCode"",""FlowDesc"",""PartnerCode"",""PartnerISO"",""PartnerDesc"",""Partner2Code"",""Partner2ISO"",""Partner2Desc"",""ClassificationCode"",""ClassificationSearchCode"",""IsOriginalClassification"",""CmdCode"",""CmdDesc"",""AggrLevel"",""IsLeaf"",""CustomsCode"",""CustomsDesc"",""MosCode"",""MotCode"",""MotDesc"",""QtyUnitCode"",""QtyUnitAbbr"",""Qty"",""IsQtyEstimated"",""AltQtyUnitCode"",""AltQtyUnitAbbr"",""AltQty"",""IsAltQtyEstimated"",""NetWgt"",""IsNetWgtEstimated"",""GrossWgt"",""IsGrossWgtEstimated"",""Cifvalue"",""Fobvalue"",""PrimaryValue"",""LegacyEstimationFlag"",""IsReported"",""IsAggregate"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""784"",""ARE"",""United Arab Emirates"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""151024719"",""false"",""19"",""BBL"",""949841"",""false"",""151024719"",""false"",""0"",""false"",,""53305704.245"",""53305704.245"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""842"",""USA"",""USA"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""2037946725"",""false"",""19"",""BBL"",""12817275"",""false"",""2037946725"",""false"",""0"",""false"",,""801218974.482"",""801218974.482"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""858"",""URY"",""Uruguay"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""852151914"",""false"",""19"",""BBL"",""5359446"",""false"",""852151914"",""false"",""0"",""false"",,""336320230.727"",""336320230.727"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""0"",""W00"",""World"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""30837085666"",""false"",""8"",""kg"",""30837085666"",""false"",""30837085666"",""false"",""0"",""false"",""0"",""14814132708.69"",""14814132708.69"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""36"",""AUS"",""Australia"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""77153500"",""false"",""8"",""kg"",""77153500"",""false"",""77153500"",""false"",""0"",""false"",""0"",""39958724.68"",""39958724.68"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""40"",""AUT"",""Austria"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""409711000"",""false"",""8"",""kg"",""409711000"",""false"",""409711000"",""false"",""0"",""false"",""0"",""185497504.48"",""185497504.48"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""100"",""BGR"",""Bulgaria"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""161773000"",""false"",""8"",""kg"",""161773000"",""false"",""161773000"",""false"",""0"",""false"",""0"",""73756528.22"",""73756528.22"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""124"",""CAN"",""Canada"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""269356000"",""false"",""8"",""kg"",""269356000"",""false"",""269356000"",""false"",""0"",""false"",""0"",""136652239.2"",""136652239.2"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""156"",""CHN"",""China"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""1414190000"",""false"",""8"",""kg"",""1414190000"",""false"",""1414190000"",""false"",""0"",""false"",""0"",""714127513.5"",""714127513.5"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""191"",""HRV"",""Croatia"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""889402000"",""false"",""8"",""kg"",""889402000"",""false"",""889402000"",""false"",""0"",""false"",""0"",""436046124.24"",""436046124.24"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""203"",""CZE"",""Czechia"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""1336960000"",""false"",""8"",""kg"",""1336960000"",""false"",""1336960000"",""false"",""0"",""false"",""0"",""645970384.57"",""645970384.57"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""251"",""FRA"",""France"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""1078090000"",""false"",""8"",""kg"",""1078090000"",""false"",""1078090000"",""false"",""0"",""false"",""0"",""528008320.86"",""528008320.86"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""276"",""DEU"",""Germany"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""1919970000"",""false"",""8"",""kg"",""1919970000"",""false"",""1919970000"",""false"",""0"",""false"",""0"",""905730406.87"",""905730406.87"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""300"",""GRC"",""Greece"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""433454000"",""false"",""8"",""kg"",""433454000"",""false"",""433454000"",""false"",""0"",""false"",""0"",""206678277.63"",""206678277.63"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""376"",""ISR"",""Israel"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""2777970000"",""false"",""8"",""kg"",""2777970000"",""false"",""2777970000"",""false"",""0"",""false"",""0"",""1328417044.1"",""1328417044.1"",""0"",""false"",""true"","
